articleID,authorName,webHits,commentCount
1,Destiny Adams,2019,14
2,Jon Radermacher,1421,6
3,Matt Janney,1174,8
4,Matt Janney,1613,26
5,Paul Semenec,1099,10
6,Destiny Adams,1903,26
7,Nicole Fry,1718,21
8,Jason Wightman,642,8
9,Jon Radermacher,1616,7
10,Matt Janney,1233,12
11,Destiny Adams,1937,21
12,Rafaela Cortez,3068,18
13,Jon Radermacher,1652,13
14,Brewster Dombkowski,1028,12
15,Jason Wightman,997,10
16,Niko Christian,1930,20
17,Jason Wightman,1035,12
18,Paul Semenec,820,7
19,Rafaela Cortez,3158,38
20,Rafaela Cortez,3047,34
21,Matt Janney,1263,15
22,Brewster Dombkowski,494,2
23,Rafaela Cortez,2784,28
24,Matt Janney,1518,19
25,Nicole Fry,1926,19
26,Destiny Adams,2205,21
27,Matt Janney,1490,6
28,Paul Semenec,1021,10
29,Matt Janney,1174,9
30,Brewster Dombkowski,991,12
31,Matt Janney,1375,18
32,Niko Christian,1794,16
33,Jason Wightman,724,2
34,Paul Semenec,700,2
35,Paul Semenec,1384,17
36,Matt Janney,1992,16
37,Brewster Dombkowski,1350,15
38,Niko Christian,1761,25
39,Matt Janney,1136,8
40,Niko Christian,1500,16
41,Brewster Dombkowski,944,16
42,Jason Wightman,925,9
43,Brewster Dombkowski,433,13
44,Destiny Adams,1900,15
45,Paul Semenec,1325,8
46,Paul Semenec,624,22
47,Brewster Dombkowski,862,9
48,Paul Semenec,884,10
49,Niko Christian,2139,23
50,Niko Christian,2787,33
51,Destiny Adams,1911,21
52,Brewster Dombkowski,2192,15
53,Brewster Dombkowski,270,1
54,Rafaela Cortez,3028,32
55,Paul Semenec,1447,19
56,Destiny Adams,2116,21
57,Destiny Adams,1826,14
58,Jon Radermacher,1393,12
59,Rafaela Cortez,2960,36
60,Paul Semenec,938,10
61,Destiny Adams,2059,22
62,Rafaela Cortez,2878,36
63,Destiny Adams,2092,25
64,Paul Semenec,1233,5
65,Jason Wightman,1430,12
66,Nicole Fry,2294,27
67,Jason Wightman,1017,17
68,Jon Radermacher,1053,8
69,Brewster Dombkowski,2301,19
70,Destiny Adams,2094,19
71,Jon Radermacher,1365,12
72,Matt Janney,1803,22
73,Niko Christian,1432,14
74,Jason Wightman,579,2
75,Paul Semenec,1075,22
76,Destiny Adams,2204,22
77,Brewster Dombkowski,1245,8
78,Jon Radermacher,1487,14
79,Nicole Fry,1859,20
80,Paul Semenec,923,15
81,Brewster Dombkowski,1233,1
82,Matt Janney,1559,21
83,Rafaela Cortez,2880,30
84,Niko Christian,2088,27
85,Destiny Adams,1932,15
86,Jason Wightman,1404,12
87,Nicole Fry,1713,17
88,Jason Wightman,731,10
89,Paul Semenec,1185,15
90,Jason Wightman,1348,11
91,Nicole Fry,2299,18
92,Jason Wightman,1067,12
93,Jason Wightman,1347,23
94,Niko Christian,1896,18
95,Jason Wightman,1335,11
96,Niko Christian,1662,27
97,Niko Christian,1632,15
98,Rafaela Cortez,2995,31
99,Niko Christian,2305,31
100,Brewster Dombkowski,799,11
101,Rafaela Cortez,3027,31
102,Jason Wightman,58,2
103,Destiny Adams,2183,21
104,Niko Christian,1568,6
105,Rafaela Cortez,2910,28
106,Destiny Adams,2004,31
107,Niko Christian,2949,29
108,Jon Radermacher,1348,15
109,Paul Semenec,1398,10
110,Brewster Dombkowski,1421,15
111,Destiny Adams,2073,21
112,Rafaela Cortez,3081,33
113,Paul Semenec,323,5
114,Matt Janney,2142,24
115,Nicole Fry,2117,25
116,Nicole Fry,1725,19
117,Jon Radermacher,1720,25
118,Paul Semenec,650,4
119,Niko Christian,1894,19
120,Destiny Adams,1631,20
121,Nicole Fry,1783,20
122,Paul Semenec,1604,16
123,Jason Wightman,1141,11
124,Nicole Fry,1456,14
125,Paul Semenec,1067,14
126,Matt Janney,1588,18
127,Nicole Fry,1326,18
128,Destiny Adams,1794,25
129,Destiny Adams,2216,13
130,Jon Radermacher,1565,16
131,Nicole Fry,2337,29
132,Nicole Fry,1899,17
133,Jason Wightman,341,3
134,Destiny Adams,1985,16
135,Brewster Dombkowski,985,10
136,Brewster Dombkowski,776,7
137,Destiny Adams,2004,22
138,Nicole Fry,2758,32
139,Jon Radermacher,1258,9
140,Jon Radermacher,1646,11
141,Rafaela Cortez,2947,29
142,Jon Radermacher,1385,12
143,Jon Radermacher,1237,14
144,Nicole Fry,2460,23
145,Rafaela Cortez,2923,31
146,Niko Christian,1409,18
147,Jason Wightman,1711,20
148,Jason Wightman,1965,24
149,Nicole Fry,1269,7
150,Destiny Adams,2015,26
151,Nicole Fry,1976,20
152,Jon Radermacher,1723,10
153,Matt Janney,2136,29
154,Destiny Adams,2302,22
155,Jason Wightman,737,3
156,Matt Janney,1436,16
157,Matt Janney,1074,3
158,Nicole Fry,1494,21
159,Brewster Dombkowski,1315,19
160,Niko Christian,1561,10
161,Rafaela Cortez,3347,22
162,Rafaela Cortez,2924,24
163,Paul Semenec,1505,20
164,Nicole Fry,2223,18
165,Brewster Dombkowski,562,9
166,Rafaela Cortez,2941,27
167,Rafaela Cortez,3069,27
168,Rafaela Cortez,3124,30
169,Matt Janney,1542,14
170,Destiny Adams,1733,19
171,Brewster Dombkowski,1692,9
172,Brewster Dombkowski,151,6
173,Jon Radermacher,1397,18
174,Paul Semenec,597,3
175,Nicole Fry,1630,16
176,Brewster Dombkowski,692,3
177,Jon Radermacher,1618,9
178,Nicole Fry,2506,26
179,Paul Semenec,741,0
180,Matt Janney,1515,27
181,Jason Wightman,513,19
182,Rafaela Cortez,2936,28
183,Rafaela Cortez,3128,38
184,Jason Wightman,485,8
185,Rafaela Cortez,3078,32
186,Niko Christian,1426,20
187,Niko Christian,1688,20
188,Niko Christian,1445,14
189,Paul Semenec,1213,19
190,Jon Radermacher,1280,5
191,Rafaela Cortez,3050,24
192,Paul Semenec,680,7
193,Brewster Dombkowski,1375,14
194,Paul Semenec,409,3
195,Destiny Adams,2127,17
196,Nicole Fry,1800,24
197,Nicole Fry,2209,17
198,Rafaela Cortez,3037,27
199,Jon Radermacher,1445,21
200,Matt Janney,2028,12
201,Destiny Adams,2434,20
202,Matt Janney,1887,15
203,Destiny Adams,1983,22
204,Jason Wightman,1280,19
205,Jon Radermacher,1082,14
206,Brewster Dombkowski,1384,9
207,Niko Christian,1730,15
208,Brewster Dombkowski,503,2
209,Brewster Dombkowski,954,12
210,Matt Janney,1891,15
211,Paul Semenec,1059,11
212,Brewster Dombkowski,1291,10
213,Paul Semenec,356,16
214,Matt Janney,1964,26
215,Jason Wightman,1564,26
216,Brewster Dombkowski,1167,9
217,Rafaela Cortez,3112,23
218,Brewster Dombkowski,1482,17
219,Nicole Fry,1885,20
220,Brewster Dombkowski,1721,19
221,Matt Janney,1338,15
222,Nicole Fry,1724,17
223,Paul Semenec,283,1
224,Niko Christian,3078,45
225,Jon Radermacher,1654,11
226,Matt Janney,1005,1
227,Rafaela Cortez,2985,27
228,Jason Wightman,1152,4
229,Rafaela Cortez,2830,30
230,Paul Semenec,1273,18
231,Brewster Dombkowski,560,2
232,Jason Wightman,956,8
233,Jason Wightman,1000,11
234,Niko Christian,2683,23
235,Jason Wightman,1154,14
236,Brewster Dombkowski,294,10
237,Brewster Dombkowski,394,12
238,Matt Janney,1592,9
239,Brewster Dombkowski,724,1
240,Destiny Adams,1872,26
241,Nicole Fry,2088,19
242,Matt Janney,764,2
243,Jason Wightman,1650,29
244,Brewster Dombkowski,871,19
245,Brewster Dombkowski,866,6
246,Jon Radermacher,1575,20
247,Paul Semenec,1661,16
248,Destiny Adams,1348,18
249,Rafaela Cortez,3029,26
250,Niko Christian,2446,13
