articleID,issueID,authorID,webHits
1,1,8,2019
2,1,5,1421
3,1,4,1174
4,1,4,1613
5,1,3,1099
6,1,8,1903
7,1,7,1718
8,2,1,642
9,2,5,1616
10,2,4,1233
11,2,8,1937
12,2,9,3068
13,3,5,1652
14,3,2,1028
15,3,1,997
16,3,6,1930
17,3,1,1035
18,3,3,820
19,3,9,3158
20,4,9,3047
21,4,4,1263
22,4,2,494
23,4,9,2784
24,4,4,1518
25,4,7,1926
26,4,8,2205
27,5,4,1490
28,5,3,1021
29,5,4,1174
30,5,2,991
31,5,4,1375
32,5,6,1794,,
33,5,1,724,,
34,5,3,700,,
35,6,3,1384,,
36,6,4,1992,,
37,6,2,1350,,
38,6,6,1761,,
39,6,4,1136,,
40,6,6,1500,,
41,6,2,944,,
42,7,1,925,,
43,7,2,433,,
44,7,8,1900,,
45,7,3,1325,,
46,7,3,624,,
47,7,2,862,,
48,7,3,884
49,8,6,2139
50,8,6,2787
51,8,8,1911
52,8,2,2192
53,8,2,270
54,8,9,3028
55,8,3,1447
56,9,8,2116
57,9,8,1826
58,9,5,1393
59,9,9,2960
60,9,3,938
61,9,8,2059
62,10,9,2878
63,10,8,2092
64,10,3,1233
65,10,1,1430
66,10,7,2294
67,11,1,1017
68,11,5,1053
69,11,2,2301
70,11,8,2094
71,11,5,1365
72,11,4,1803
73,11,6,1432
74,11,1,579
75,11,3,1075
76,12,8,2204
77,12,2,1245
78,12,5,1487
79,12,7,1859
80,12,3,923
81,12,2,1233
82,12,4,1559
83,13,9,2880
84,13,6,2088
85,13,8,1932
86,13,1,1404
87,13,7,1713
88,13,1,731
89,14,3,1185
90,14,1,1348
91,14,7,2299
92,14,1,1067
93,14,1,1347
94,14,6,1896
95,15,1,1335
96,15,6,1662
97,15,6,1632
98,15,9,2995
99,15,6,2305
100,15,2,799
101,16,9,3027
102,16,1,58
103,16,8,2183
104,16,6,1568
105,16,9,2910
106,16,8,2004
107,16,6,2949
108,17,5,1348
109,17,3,1398
110,17,2,1421
111,17,8,2073
112,17,9,3081
113,17,3,323
114,17,4,2142
115,17,7,2117
116,17,7,1725
117,17,5,1720
118,18,3,650
119,18,6,1894
120,18,8,1631
121,18,7,1783
122,18,3,1604
123,18,1,1141
124,18,7,1456
125,19,3,1067
126,19,4,1588
127,19,7,1326
128,19,8,1794
129,19,8,2216
130,19,5,1565
131,20,7,2337
132,20,7,1899
133,20,1,341
134,20,8,1985
135,20,2,985
136,20,2,776
137,20,8,2004
138,21,7,2758
139,21,5,1258
140,21,5,1646
141,21,9,2947
142,21,5,1385
143,21,5,1237
144,22,7,2460
145,22,9,2923
146,22,6,1409
147,22,1,1711
148,22,1,1965
149,22,7,1269
150,22,8,2015
151,22,7,1976
152,22,5,1723
153,23,4,2136
154,23,8,2302
155,23,1,737
156,23,4,1436
157,23,4,1074
158,23,7,1494
159,24,2,1315
160,24,6,1561
161,24,9,3347
162,24,9,2924
163,24,3,1505
164,24,7,2223
165,24,2,562
166,24,9,2941
167,24,9,3069
168,24,9,3124
169,25,4,1542
170,25,8,1733
171,25,2,1692
172,25,2,151
173,25,5,1397
174,25,3,597
175,25,7,1630
176,26,2,692
177,26,5,1618
178,26,7,2506
179,26,3,741
180,26,4,1515
181,26,1,513
182,26,9,2936
183,26,9,3128
184,26,1,485
185,27,9,3078
186,27,6,1426
187,27,6,1688
188,27,6,1445
189,27,3,1213
190,27,5,1280
191,27,9,3050
192,27,3,680
193,28,2,1375
194,28,3,409
195,28,8,2127
196,28,7,1800
197,28,7,2209
198,29,9,3037
199,29,5,1445
200,29,4,2028
201,29,8,2434
202,29,4,1887
203,29,8,1983
204,29,1,1280
205,29,5,1082
206,30,2,1384
207,30,6,1730
208,30,2,503
209,30,2,954
210,30,4,1891
211,31,3,1059
212,31,2,1291
213,31,3,356
214,31,4,1964
215,31,1,1564
216,31,2,1167
217,31,9,3112
218,32,2,1482
219,32,7,1885
220,32,2,1721
221,32,4,1338
222,32,7,1724
223,32,3,283
224,33,6,3078
225,33,5,1654
226,33,4,1005
227,33,9,2985
228,33,1,1152
229,33,9,2830
230,33,3,1273
231,33,2,560
232,33,1,956
233,34,1,1000
234,34,6,2683
235,34,1,1154
236,34,2,294
237,34,2,394
238,34,4,1592
239,35,2,724
240,35,8,1872
241,35,7,2088
242,35,4,764
243,35,1,1650
244,35,2,871
245,35,2,866
246,36,5,1575
247,36,3,1661
248,36,8,1348
249,36,9,3029
250,36,6,2446
251,36,9,3189
252,36,6,2234
253,36,5,1621
254,36,9,3059
255,37,8,2016
256,37,4,1517
257,37,8,2220
258,37,2,545
259,37,2,342
260,37,3,1282
261,38,1,286
262,38,4,1820
263,38,5,1325
264,38,4,1413
265,38,1,1193
266,38,2,858
267,39,3,996
268,39,3,908
269,39,3,899
270,39,8,1864
271,39,6,2925
272,39,3,1184
273,39,4,746
274,39,4,1660
275,40,4,1818
276,40,3,948
277,40,7,1903
278,40,4,761
279,40,7,1819
280,40,6,1570
281,40,1,1155
282,40,1,1017
283,41,5,1038
284,41,3,1332
285,41,4,1250
286,41,8,2520
287,41,7,1680
288,41,2,1686
289,41,5,1373
290,41,9,2941
291,41,2,215
292,41,5,1804
293,42,9,2952
294,42,1,689
295,42,6,1294
296,42,2,848
297,42,7,1904
298,43,6,1758
299,43,7,1808
300,43,4,791
301,43,9,2753
302,43,8,1634
303,43,4,1711
304,43,2,1071
305,44,5,1421
306,44,8,1699
307,44,3,1334
308,44,5,1494
309,44,5,1636
310,44,7,1589
311,44,6,2023
312,44,9,3162
313,45,9,3126
314,45,5,1580
315,45,6,2421
316,45,6,1654
317,45,2,143
318,45,7,2484
319,46,3,1302
320,46,1,967
321,46,6,1958
322,46,1,1008
323,46,3,1041
324,46,1,1059
325,47,2,553
326,47,2,1231
327,47,5,1878
328,47,8,2056
329,47,7,2640
330,47,3,650
331,47,8,1832
332,48,5,1491
333,48,3,981
334,48,8,1819
335,48,8,1979
336,48,1,1415
337,48,9,3245
338,49,4,1728
339,49,8,2040
340,49,1,179
341,49,6,1794
342,49,4,1045
343,50,5,1113
344,50,4,1831
345,50,9,3221
346,50,1,1117
347,50,9,2777
348,50,8,1848
349,50,6,1998
350,50,3,1162
351,50,1,1142
352,50,6,2064
353,51,7,2270
354,51,3,942
355,51,1,916
356,51,5,1594
357,51,8,1904
358,51,2,1211
359,51,2,1969
360,52,5,1654
361,52,7,2433
362,52,7,2267
363,52,8,2252
364,52,8,1687
365,52,7,2635
366,52,8,2043
367,52,7,1844
368,53,7,2346
369,53,5,1426
370,53,9,2858
371,53,3,759
372,53,5,2019
373,53,5,1700
374,53,6,1678
375,53,5,1368
376,53,8,1759
377,54,2,1182
378,54,3,952
379,54,9,3013
380,54,7,1803
381,54,9,2883
382,55,1,1169
383,55,2,592
384,55,5,1377
385,55,8,1898
386,55,2,463
387,55,5,1528
388,55,4,1437
389,55,3,1091
390,55,2,1289
391,55,4,1631
392,56,8,1890
393,56,9,3039
394,56,6,1958
395,56,2,1505
396,56,5,1533
397,56,1,773
398,56,9,3000
399,56,5,1518
400,57,7,1276
401,57,9,3129
402,57,8,1918
403,57,7,2162
404,57,8,1705
405,57,2,934
406,57,9,2932
407,58,4,843
408,58,9,2829
409,58,1,691
410,58,6,1325
411,58,3,1592
412,58,3,535
413,58,6,2322
414,58,5,1331
415,58,8,1982
416,59,9,2932
417,59,9,2856
418,59,9,3120
419,59,1,1326
420,59,1,254
421,59,9,2903
422,59,1,584
423,59,9,3149
424,59,4,959
425,60,2,458
426,60,1,727
427,60,7,2211
428,60,1,1125
429,60,1,1505
430,61,7,2116
431,61,9,2924
432,61,5,1501
433,61,7,1431
434,61,9,2977
435,61,8,1985
436,62,4,1115
437,62,4,2213
438,62,3,1012
439,62,7,2116
440,62,7,2690
441,62,1,973
442,62,2,1182
443,62,5,1292
444,63,9,2994
445,63,3,770
446,63,7,1783
447,63,3,1033
448,63,6,2314
449,63,6,1906
450,64,4,1961
451,64,5,1679
452,64,1,276
453,64,7,2077
454,64,9,3134
455,64,3,1370
456,65,3,1027
457,65,6,2168
458,65,9,2897
459,65,4,1279
460,65,8,1967
461,65,3,16
462,66,4,1936
463,66,6,1775
464,66,2,1446
465,66,1,839
466,66,6,1866
467,66,4,1188
468,66,7,2129
469,66,5,1491
470,67,7,2735
471,67,5,1771
472,67,9,2841
473,67,6,2812
474,67,9,3117
475,67,7,1621
476,67,1,523
477,68,6,1921
478,68,1,834
479,68,2,1147
480,68,3,1223
481,68,4,1477
482,69,8,2313
483,69,5,1782
484,69,3,1498
485,69,6,2898
486,69,8,2362
487,69,7,2805
488,69,4,1109
489,69,6,1917
490,70,8,2091
491,70,9,2926
492,70,2,794
493,70,9,3109
494,70,3,1027
495,71,1,992
496,71,4,1740
497,71,5,1860
498,71,8,2085
499,71,4,1191
500,72,4,1675
501,72,4,1576
502,72,8,1905
503,72,7,1726
504,72,7,2323
505,72,9,2991
506,73,4,1696
507,73,9,3027
508,73,6,1447
509,73,2,1034
510,73,8,2233
511,73,6,2785
512,73,8,2466
513,73,4,2123
514,73,9,3137
515,74,2,894
516,74,5,1562
517,74,1,469
518,74,6,1838
519,74,6,742
520,74,9,2865
521,74,8,2116
522,74,9,2948
523,74,5,1612
524,74,8,1783
525,75,4,1560
526,75,4,1255
527,75,6,2667
528,75,6,2868
529,75,4,1364
530,75,6,1877
