issueID,PubDate
1,10/24/04
2,11/8/04
3,11/23/04
4,12/8/04
5,12/23/04
6,1/7/05
7,1/22/05
8,2/6/05
9,2/21/05
10,3/8/05
11,3/23/05
12,4/7/05
13,4/22/05
14,5/7/05
15,5/22/05
16,6/6/05
17,6/21/05
18,7/6/05
19,7/21/05
20,8/5/05
21,8/20/05
22,9/4/05
23,9/19/05
24,10/4/05
25,10/19/05
26,11/3/05
27,11/18/05
28,12/3/05
29,12/18/05
30,1/2/06
31,1/17/06
32,2/1/06
33,2/16/06
34,3/3/06
35,3/18/06
36,4/2/06
37,4/17/06
38,5/2/06
39,5/17/06
40,6/1/06
41,6/16/06
42,7/1/06
43,7/16/06
44,7/31/06
45,8/15/06
46,8/30/06
47,9/14/06
48,9/29/06
49,10/14/06
50,10/29/06
51,11/13/06
52,11/28/06
53,12/13/06
54,12/28/06
55,1/12/07
56,1/27/07
57,2/11/07
58,2/26/07
59,3/13/07
60,3/28/07
61,4/12/07
62,4/27/07
63,5/12/07
64,5/27/07
65,6/11/07
66,6/26/07
67,7/11/07
68,7/26/07
69,8/10/07
70,8/25/07
71,9/9/07
72,9/24/07
73,10/9/07
74,10/24/07
75,11/8/07
76,11/23/07
77,12/8/07
78,12/23/07
79,1/7/08
80,1/22/08
81,2/6/08
82,2/21/08
83,3/7/08
84,3/22/08
85,4/6/08
86,4/21/08
87,5/6/08
88,5/21/08
89,6/5/08
90,6/20/08
91,7/5/08
92,7/20/08
93,8/4/08
94,8/19/08
95,9/3/08
96,9/18/08
97,10/3/08
98,10/18/08
99,11/2/08
100,11/17/08
101,12/2/08
102,12/17/08
103,1/1/09
104,1/16/09
105,1/31/09
106,2/15/09
107,3/2/09
108,3/17/09
109,4/1/09
110,4/16/09
111,5/1/09
112,5/16/09
113,5/31/09
114,6/15/09
115,6/30/09
