issueID,PubDate
1,10/24/04
2,2011/8/4
3,11/23/04
4,2012/8/4
5,12/23/04
6,2001/7/5
7,1/22/05
8,2002/6/5
9,2/21/05
10,2003/8/5
11,3/23/05
12,2004/7/5
13,4/22/05
14,2005/7/5
15,5/22/05
16,2006/6/5
17,6/21/05
18,2007/6/5
19,7/21/05
20,2008/5/5
21,8/20/05
22,2009/4/5
23,9/19/05
24,2010/4/5
25,10/19/05
26,2011/3/5
27,11/18/05
28,2012/3/5
29,12/18/05
30,2001/2/6
31,1/17/06
32,2002/1/6
33,2/16/06
34,2003/3/6
35,3/18/06
36,2004/2/6
37,4/17/06
38,2005/2/6
39,5/17/06
40,2006/1/6
41,6/16/06
42,2007/1/6
43,7/16/06
44,7/31/06
45,8/15/06
46,8/30/06
47,9/14/06
48,9/29/06
49,10/14/06
50,10/29/06
51,11/13/06
52,11/28/06
53,12/13/06
54,12/28/06
55,2001/12/7
56,1/27/07
57,2002/11/7
58,2/26/07
59,3/13/07
60,3/28/07
61,2004/12/7
62,4/27/07
63,2005/12/7
64,5/27/07
65,2006/11/7
66,6/26/07
67,2007/11/7
68,7/26/07
69,2008/10/7
70,8/25/07
71,2009/9/7
72,9/24/07
73,2010/9/7
74,10/24/07
75,2011/8/7
76,11/23/07
77,2012/8/7
78,12/23/07
79,2001/7/8
80,1/22/08
81,2002/6/8
82,2/21/08
83,2003/7/8
84,3/22/08
85,2004/6/8
86,4/21/08
87,2005/6/8
88,5/21/08
89,2006/5/8
90,6/20/08
91,2007/5/8
92,7/20/08
93,2008/4/8
94,8/19/08
95,2009/3/8
96,9/18/08
97,2010/3/8
98,10/18/08
99,2011/2/8
100,11/17/08
101,2012/2/8
102,12/17/08
103,2001/1/9
104,1/16/09
105,1/31/09
106,2/15/09
107,2003/2/9
108,3/17/09
109,2004/1/9
110,4/16/09
111,2005/1/9
112,5/16/09
113,5/31/09
114,6/15/09
115,6/30/09
