saleID,issueID,lotSize
1701,74,100
386,18,100
110,6,100
1784,78,100
3131,112,100
1404,60,100
2334,92,100
2037,85,100
1134,50,100
586,26,100
3205,114,100
1763,77,100
2153,88,100
2065,86,100
184,9,100
3123,112,100
857,38,44
1750,76,100
1359,58,100
2148,88,100
5,1,100
2261,90,100
790,35,100
939,41,100
1757,77,100
192,10,100
1283,56,100
705,32,100
2120,87,100
1631,73,100
1389,59,100
2217,89,100
2294,91,100
372,17,100
527,24,100
842,38,100
1004,44,100
633,28,100
390,18,100
1335,58,100
2658,100,100
1632,73,100
2269,91,100
1604,71,100
3135,112,100
233,11,100
1070,48,100
752,34,100
2760,103,100
3268,115,100
3198,114,100
559,25,100
950,41,100
463,22,100
3248,115,100
2545,97,100
1227,54,100
1222,53,100
1065,47,100
3224,114,100
304,15,100
1621,72,100
569,26,100
2477,96,100
1039,46,100
2397,94,100
2517,97,100
1749,76,100
798,36,100
3036,110,100
1531,67,100
265,13,100
249,12,100
509,24,100
573,26,100
1502,66,100
175,9,100
2682,101,100
1678,74,100
1186,52,100
2638,100,100
2627,99,100
25,2,100
2040,85,100
1387,59,100
908,40,100
128,7,100
2021,84,100
1657,73,100
1482,64,100
3054,110,100
2559,98,100
3093,111,100
964,42,100
2450,95,100
1049,46,100
2576,98,100
312,15,6
137,7,100
2105,87,100
343,17,100
1962,83,100
1600,71,100
96,5,100
2244,90,100
3195,114,100
291,14,100
2157,88,100
1422,61,100
1509,66,100
1715,75,100
786,35,100
1569,69,100
729,33,100
85,5,100
2891,106,100
1342,58,100
643,29,100
1806,79,100
2853,105,100
1610,72,100
2221,89,100
1434,62,100
547,25,100
1958,83,100
2495,96,100
2662,100,100
1833,80,100
593,26,100
2594,99,100
1669,74,100
276,13,100
1433,62,100
1501,66,100
208,11,100
2607,99,100
865,39,100
693,31,100
548,25,100
531,24,100
1675,74,100
289,14,100
146,7,100
1575,69,100
991,44,100
884,39,100
2026,85,100
2132,87,100
2640,100,100
2083,86,100
484,22,100
1644,73,100
1589,69,100
2074,86,100
508,24,100
3146,112,100
88,5,100
1082,48,100
2000,84,100
2959,108,100
1685,74,100
528,24,100
1741,76,100
848,38,100
1156,51,100
2917,107,100
1654,73,100
250,12,100
2011,84,100
968,43,100
1240,55,100
2614,99,100
1098,50,100
1002,44,100
2058,85,100
2555,98,100
706,32,100
2847,105,100
1799,78,100
3157,113,100
3122,112,100
2983,108,100
2921,107,100
3081,111,100
1211,53,100
587,26,100
3077,111,100
1933,82,100
2567,98,100
1920,82,100
823,36,100
2912,106,100
1161,52,100
3193,113,100
2079,86,100
2161,88,100
2015,84,100
2388,94,100
1871,81,100
1590,69,100
405,19,100
1642,73,100
3258,115,100
525,24,100
2399,94,100
2719,102,100
2191,89,100
1821,80,100
3273,115,100
2363,93,100
1451,62,100
241,12,100
1107,50,100
477,22,100
286,14,100
651,29,100
868,39,100
2622,99,100
2499,96,100
2704,101,100
2771,103,100
1440,62,100
2643,100,100
520,24,100
90,5,100
1981,83,10
1788,78,100
2778,103,100
885,39,100
2328,92,100
3143,112,100
2326,92,100
1562,68,100
1878,81,100
381,18,100
1577,69,100
1333,58,100
2270,91,100
1046,46,100
2910,106,100
1729,76,100
2262,90,100
86,5,100
1204,53,100
3050,110,100
1358,58,100
1545,67,100
1441,62,100
1640,73,100
742,33,100
614,27,100
2805,104,100
2443,95,100
657,29,100
1877,81,100
2955,107,41
1181,52,100
2838,105,100
3145,112,100
1339,58,100
1660,73,100
339,17,100
476,22,100
2373,93,100
1524,66,7
912,40,100
2089,86,100
2336,92,100
580,26,100
1256,55,100
1629,72,52
1217,53,100
2069,86,100
1782,78,100
457,22,100
1955,83,100
627,28,100
1915,82,100
